IRTTSD,IR Thermometer Text Sub Document
Fields:INDEX,TIMESTAMP,TEMPERATURE,UNIT
Version:1.0

0,1752157907000,26.0,°C
1,1752157908000,26.0,°C
2,1752157909000,26.0,°C
3,1752157910000,26.0,°C
4,1752157911000,26.0,°C
5,1752157912000,26.4,°C
6,1752157913000,26.5,°C
7,1752157914000,26.5,°C
8,1752157915000,26.4,°C
9,1752157916000,26.5,°C
10,1752157917000,26.4,°C
11,1752157918000,26.4,°C
12,1752157919000,26.4,°C
13,1752157920000,26.4,°C
14,1752157921000,26.3,°C
15,1752157922000,26.3,°C
16,1752157923000,26.4,°C
17,1752157924000,26.3,°C
18,1752157925000,26.2,°C
19,1752157926000,26.2,°C
20,1752157927000,26.5,°C
21,1752157928000,26.4,°C
22,1752157929000,26.4,°C
23,1752157930000,26.3,°C
24,1752157931000,26.3,°C
25,1752157932000,26.3,°C
26,1752157933000,26.2,°C
27,1752157934000,26.1,°C
28,1752157935000,26.1,°C
29,1752157936000,26.2,°C
30,1752157937000,25.3,°C
31,1752157938000,25.5,°C
32,1752157939000,25.3,°C
33,1752157940000,26.5,°C
34,1752157941000,26.4,°C
35,1752157942000,26.4,°C
36,1752157943000,26.4,°C
37,1752157944000,26.4,°C
38,1752157945000,26.4,°C
39,1752157946000,26.4,°C
40,1752157947000,26.2,°C
41,1752157948000,26.2,°C
42,1752157949000,26.2,°C
43,1752157950000,26.1,°C
44,1752157951000,24.7,°C
45,1752157952000,25.9,°C
46,1752157953000,26.0,°C
47,1752157954000,26.1,°C
48,1752157955000,25.3,°C
49,1752157956000,25.3,°C
50,1752157957000,25.3,°C
51,1752157958000,26.5,°C
52,1752157959000,26.5,°C
53,1752157960000,26.4,°C
54,1752157961000,26.3,°C
55,1752157962000,26.3,°C
56,1752157963000,26.2,°C
57,1752157964000,26.2,°C
58,1752157965000,26.2,°C
59,1752157966000,26.2,°C
60,1752157967000,26.1,°C
61,1752157968000,26.0,°C
62,1752157969000,26.1,°C
63,1752157970000,25.9,°C
64,1752157971000,25.9,°C
65,1752157972000,25.8,°C
66,1752157973000,54.9,°C
67,1752157974000,60.0,°C
68,1752157975000,64.4,°C
69,1752157976000,69.7,°C
70,1752157977000,69.7,°C
71,1752157978000,73.6,°C
72,1752157979000,73.6,°C
73,1752157980000,79.6,°C
74,1752157981000,79.9,°C
75,1752157982000,83.8,°C
76,1752157983000,86.2,°C
77,1752157984000,88.3,°C
78,1752157985000,91.4,°C
79,1752157986000,91.4,°C
80,1752157987000,91.6,°C
81,1752157988000,94.9,°C
82,1752157989000,97.5,°C
83,1752157990000,98.8,°C
84,1752157991000,98.8,°C
85,1752157992000,103.4,°C
86,1752157993000,105.2,°C
87,1752157994000,108.4,°C
88,1752157995000,110.5,°C
89,1752157996000,110.6,°C
90,1752157997000,114.6,°C
91,1752157998000,116.6,°C
92,1752157999000,118.3,°C
93,1752158000000,120.8,°C
94,1752158001000,123.0,°C
95,1752158002000,124.2,°C
96,1752158003000,127.0,°C
97,1752158004000,128.5,°C
98,1752158005000,130.6,°C
99,1752158006000,132.6,°C
100,1752158007000,134.6,°C
101,1752158008000,134.7,°C
102,1752158009000,137.2,°C
103,1752158010000,140.2,°C
104,1752158011000,140.2,°C
105,1752158012000,140.2,°C
106,1752158013000,145.2,°C
107,1752158014000,145.2,°C
108,1752158015000,149.9,°C
109,1752158016000,149.9,°C
110,1752158017000,150.0,°C
111,1752158018000,154.1,°C
112,1752158019000,155.3,°C
113,1752158020000,155.3,°C
114,1752158021000,159.3,°C
115,1752158022000,159.3,°C
116,1752158023000,159.4,°C
117,1752158024000,162.7,°C
118,1752158025000,162.7,°C
119,1752158026000,166.0,°C
120,1752158027000,167.1,°C
121,1752158028000,168.7,°C
122,1752158029000,168.7,°C
123,1752158030000,170.6,°C
124,1752158031000,172.4,°C
125,1752158032000,172.4,°C
126,1752158033000,172.9,°C
127,1752158034000,176.9,°C
128,1752158035000,176.9,°C
129,1752158036000,178.9,°C
130,1752158037000,179.0,°C
131,1752158038000,179.1,°C
132,1752158039000,179.5,°C
133,1752158040000,179.8,°C
134,1752158041000,180.1,°C
135,1752158042000,181.1,°C
136,1752158043000,181.5,°C
137,1752158044000,181.5,°C
138,1752158045000,181.5,°C
139,1752158046000,184.3,°C
140,1752158047000,184.3,°C
141,1752158048000,187.7,°C
142,1752158049000,187.7,°C
143,1752158050000,187.9,°C
144,1752158051000,188.5,°C
145,1752158052000,188.8,°C
146,1752158053000,191.9,°C
147,1752158054000,193.4,°C
148,1752158055000,193.3,°C
149,1752158056000,193.3,°C
150,1752158057000,195.3,°C
151,1752158058000,195.3,°C
152,1752158059000,195.3,°C
153,1752158060000,195.6,°C
154,1752158061000,195.8,°C
155,1752158062000,196.1,°C
156,1752158063000,197.1,°C
157,1752158064000,197.6,°C
158,1752158065000,198.1,°C
159,1752158066000,201.6,°C
160,1752158067000,201.7,°C
161,1752158068000,201.9,°C
162,1752158069000,205.1,°C
163,1752158070000,205.0,°C
164,1752158071000,206.6,°C
165,1752158072000,206.8,°C
166,1752158073000,206.9,°C
167,1752158074000,207.1,°C
168,1752158075000,210.9,°C
169,1752158076000,210.9,°C
170,1752158077000,210.9,°C
171,1752158078000,210.9,°C
172,1752158079000,214.3,°C
173,1752158080000,214.3,°C
174,1752158081000,214.5,°C
175,1752158082000,214.7,°C
176,1752158083000,217.0,°C
177,1752158084000,217.1,°C
178,1752158085000,219.1,°C
179,1752158086000,219.1,°C
180,1752158087000,219.2,°C
181,1752158088000,219.4,°C
182,1752158089000,219.7,°C
183,1752158090000,220.3,°C
184,1752158091000,223.4,°C
185,1752158092000,223.4,°C
186,1752158093000,223.6,°C
187,1752158094000,223.8,°C
188,1752158095000,226.4,°C
189,1752158096000,226.4,°C
190,1752158097000,226.4,°C
191,1752158098000,226.6,°C
192,1752158099000,227.2,°C
193,1752158100000,227.5,°C
194,1752158101000,227.7,°C
195,1752158102000,228.6,°C
196,1752158103000,228.9,°C
197,1752158104000,229.2,°C
198,1752158105000,229.7,°C
199,1752158106000,230.1,°C
200,1752158107000,230.5,°C
201,1752158108000,231.2,°C
202,1752158109000,231.2,°C
203,1752158110000,232.0,°C
204,1752158111000,232.0,°C
205,1752158112000,233.7,°C
206,1752158113000,234.2,°C
207,1752158114000,235.1,°C
208,1752158115000,235.6,°C
209,1752158116000,236.1,°C
210,1752158117000,236.9,°C
211,1752158118000,237.4,°C
212,1752158119000,237.8,°C
213,1752158120000,238.5,°C
214,1752158121000,238.8,°C
215,1752158122000,239.1,°C
216,1752158123000,239.8,°C
217,1752158124000,240.2,°C
218,1752158125000,240.6,°C
219,1752158126000,243.1,°C
220,1752158127000,243.0,°C
221,1752158128000,242.9,°C
222,1752158129000,243.1,°C
223,1752158130000,243.2,°C
224,1752158131000,243.3,°C
225,1752158132000,243.9,°C
226,1752158133000,244.3,°C
227,1752158134000,244.8,°C
228,1752158135000,245.5,°C
229,1752158136000,245.9,°C
230,1752158137000,246.4,°C
231,1752158138000,247.0,°C
232,1752158139000,247.4,°C
233,1752158140000,247.8,°C
234,1752158141000,250.6,°C
235,1752158142000,250.6,°C
236,1752158143000,250.6,°C
237,1752158144000,250.6,°C
238,1752158145000,253.2,°C
239,1752158146000,253.2,°C
240,1752158147000,253.4,°C
241,1752158148000,253.6,°C
242,1752158149000,253.8,°C
243,1752158150000,254.3,°C
244,1752158151000,256.4,°C
245,1752158152000,256.4,°C
246,1752158153000,256.5,°C
247,1752158154000,256.7,°C
248,1752158155000,256.9,°C
249,1752158156000,257.5,°C
250,1752158157000,257.8,°C
251,1752158158000,260.1,°C
252,1752158159000,260.1,°C
253,1752158160000,260.1,°C
254,1752158161000,260.3,°C
255,1752158162000,260.8,°C
256,1752158163000,261.1,°C
257,1752158164000,261.5,°C
258,1752158165000,262.3,°C
259,1752158166000,262.7,°C
260,1752158167000,263.1,°C
261,1752158168000,264.0,°C
262,1752158169000,264.4,°C
263,1752158170000,264.7,°C
264,1752158171000,265.4,°C
265,1752158172000,265.8,°C
266,1752158173000,266.2,°C
267,1752158174000,268.5,°C
268,1752158175000,268.5,°C
269,1752158176000,268.5,°C
270,1752158177000,268.8,°C
271,1752158178000,269.2,°C
272,1752158179000,269.2,°C
273,1752158180000,270.0,°C
274,1752158181000,270.3,°C
275,1752158182000,270.7,°C
276,1752158183000,271.3,°C
277,1752158184000,271.7,°C
278,1752158185000,272.0,°C
279,1752158186000,272.8,°C
280,1752158187000,273.1,°C
281,1752158188000,273.3,°C
282,1752158189000,273.9,°C
283,1752158190000,274.1,°C
284,1752158191000,274.3,°C
285,1752158192000,274.8,°C
286,1752158193000,275.1,°C
287,1752158194000,275.4,°C
288,1752158195000,276.1,°C
289,1752158196000,276.5,°C
290,1752158197000,276.7,°C
291,1752158198000,278.5,°C
292,1752158199000,278.6,°C
293,1752158200000,278.7,°C
294,1752158201000,278.9,°C
295,1752158202000,279.1,°C
296,1752158203000,279.3,°C
297,1752158204000,280.1,°C
298,1752158205000,280.4,°C
299,1752158206000,280.7,°C
300,1752158207000,281.3,°C
301,1752158208000,281.5,°C
302,1752158209000,281.8,°C
303,1752158210000,281.8,°C
304,1752158211000,281.8,°C
305,1752158212000,282.5,°C
306,1752158213000,282.9,°C
307,1752158214000,283.0,°C
308,1752158215000,283.3,°C
309,1752158216000,283.8,°C
310,1752158217000,284.0,°C
311,1752158218000,284.2,°C
312,1752158219000,284.8,°C
313,1752158220000,285.1,°C
314,1752158221000,286.9,°C
315,1752158222000,286.8,°C
316,1752158223000,286.8,°C
317,1752158224000,286.8,°C
318,1752158225000,286.8,°C
319,1752158226000,287.0,°C
320,1752158227000,287.2,°C
321,1752158228000,287.5,°C
322,1752158229000,287.7,°C
323,1752158230000,288.0,°C
324,1752158231000,288.4,°C
325,1752158232000,288.5,°C
326,1752158233000,288.6,°C
327,1752158234000,289.0,°C
328,1752158235000,289.1,°C
329,1752158236000,289.2,°C
330,1752158237000,289.4,°C
331,1752158238000,289.7,°C
332,1752158239000,289.9,°C
333,1752158240000,290.0,°C
334,1752158241000,290.3,°C
335,1752158242000,290.4,°C
336,1752158243000,290.9,°C
337,1752158244000,290.9,°C
338,1752158245000,291.2,°C
339,1752158246000,291.8,°C
340,1752158247000,292.1,°C
341,1752158248000,292.4,°C
342,1752158249000,292.7,°C
343,1752158250000,294.2,°C
344,1752158251000,294.2,°C
345,1752158252000,294.2,°C
346,1752158253000,294.3,°C
347,1752158254000,294.3,°C
348,1752158255000,294.5,°C
349,1752158256000,294.7,°C
350,1752158257000,294.8,°C
351,1752158258000,295.2,°C
352,1752158259000,295.3,°C
353,1752158260000,295.5,°C
354,1752158261000,296.0,°C
355,1752158262000,296.1,°C
356,1752158263000,296.4,°C
357,1752158264000,296.7,°C
358,1752158265000,296.9,°C
359,1752158266000,297.0,°C
360,1752158267000,297.2,°C
361,1752158268000,297.4,°C
362,1752158269000,297.4,°C
363,1752158270000,297.8,°C
364,1752158271000,297.9,°C
365,1752158272000,298.0,°C
366,1752158273000,298.6,°C
367,1752158274000,298.7,°C
368,1752158275000,299.0,°C
369,1752158276000,299.0,°C
370,1752158277000,301.0,°C
371,1752158278000,301.0,°C
372,1752158279000,301.4,°C
373,1752158280000,301.5,°C
374,1752158281000,301.7,°C
375,1752158282000,304.0,°C
376,1752158283000,303.9,°C
377,1752158284000,303.8,°C
378,1752158285000,303.9,°C
379,1752158286000,303.9,°C
380,1752158287000,304.1,°C
381,1752158288000,304.5,°C
382,1752158289000,304.8,°C
383,1752158290000,305.2,°C
384,1752158291000,305.8,°C
385,1752158292000,306.0,°C
386,1752158293000,306.2,°C
387,1752158294000,306.5,°C
388,1752158295000,306.7,°C
389,1752158296000,306.8,°C
390,1752158297000,308.8,°C
391,1752158298000,308.7,°C
392,1752158299000,308.5,°C
393,1752158300000,308.7,°C
394,1752158301000,308.7,°C
395,1752158302000,308.7,°C
396,1752158303000,308.9,°C
397,1752158304000,308.9,°C
398,1752158305000,309.0,°C
399,1752158306000,309.1,°C
400,1752158307000,311.1,°C
401,1752158308000,310.9,°C
402,1752158309000,310.6,°C
403,1752158310000,310.6,°C
404,1752158311000,310.4,°C
405,1752158312000,310.4,°C
406,1752158313000,311.6,°C
407,1752158314000,311.6,°C
408,1752158315000,311.7,°C
409,1752158316000,311.8,°C
410,1752158317000,312.0,°C
411,1752158318000,312.3,°C
412,1752158319000,312.5,°C
413,1752158320000,312.6,°C
414,1752158321000,313.0,°C
415,1752158322000,313.0,°C
416,1752158323000,313.1,°C
