TermoSoft(Base)     10.07.2025 17:32:52
#Активные каналы:     0  0  0  1  0  2
#Масштаб:           0 0 0 150 5 1 0.000694444444444 1 1 0 0.000694444444444 1.15740740741E-5
#Тип данных:        Температура TC
#Ед.изм.:           C
#Точность:          2
#Вид данных:        
#Название каналов:  
 канал 1
 канал 2
 канал 3
#Комментарий:       
#Tаблица:           
Время		К0, C	К1, C	К2, C	
00:00:00:000	232.34	26.57	23.53	
00:00:00:234	232.34	26.41	23.53	
00:00:00:516	232.34	26.41	23.65	
00:00:00:797	261.44	26.41	23.65	
00:00:01:094	261.44	26.52	23.65	
00:00:01:344	261.49	26.57	23.55	
00:00:01:625	277.95	26.57	23.55	
00:00:01:906	277.95	26.94	23.55	
00:00:02:172	277.95	26.94	24.14	
00:00:02:453	290.48	26.94	24.14	
00:00:02:734	290.48	27.37	24.14	
00:00:03:000	290.43	27.32	24.06	
00:00:03:297	296.45	27.32	24.06	
00:00:03:578	296.45	28.13	24.06	
00:00:03:828	296.48	28.15	23.62	
00:00:04:125	306.56	28.15	23.62	
00:00:04:406	306.56	29.04	23.62	
00:00:04:672	306.58	29.06	24.26	
00:00:04:953	312.23	29.06	24.26	
00:00:05:234	312.23	29.55	24.26	
00:00:05:515	312.21	29.53	23.23	
00:00:05:781	320.00	29.53	23.23	
00:00:06:062	320.00	30.70	23.23	
00:00:06:343	320.00	30.70	23.57	
00:00:06:625	327.33	30.70	23.57	
00:00:06:890	327.33	31.55	23.57	
00:00:07:172	327.33	31.55	23.43	
00:00:07:453	331.69	31.55	23.43	
00:00:07:718	331.69	32.50	23.43	
00:00:08:000	331.67	32.47	24.19	
00:00:08:297	335.83	32.47	24.19	
00:00:08:562	335.83	33.66	24.19	
00:00:08:828	335.83	33.66	23.96	
00:00:09:125	341.43	33.66	23.96	
00:00:09:390	341.43	34.81	23.96	
00:00:09:687	341.45	34.84	23.86	
00:00:09:953	343.01	34.84	23.86	
00:00:10:218	343.01	35.65	23.86	
00:00:10:515	343.01	35.65	23.62	
00:00:10:796	349.55	35.65	23.62		


